ID,Question,Image_Count,Image_Descriptions,Review_Status,Reviewer_Comments
21,Welches ist das Wappen der Bundesrepublik Deutschland?,4,"Path: data/images/q21_1.png | Description: Das Bild zeigt das Wappen der Bundesrepublik Deutschland: ein goldener Adler auf schwarzem Grund mit roten Krallen und Schnabel. Die Flügel sind ausgebreitet, aber nicht vollständig geöffnet. | Context: Wappen der Bundesrepublik Deutschland ;; Path: data/images/q21_2.png | Description: Das Bild zeigt ein stilisiertes Kreuz auf weißem Grund. | Context: Stilisiertes Kreuz ;; Path: data/images/q21_3.png | Description: Das Bild zeigt ein stilisiertes Eisernes Kreuz in den Farben Silber und Blau. | Context: Eisernes Kreuz ;; Path: data/images/q21_4.png | Description: Das Bild zeigt das Wappen der Deutschen Demokratischen Republik (DDR): Hammer und Zirkel, umgeben von einem Ährenkranz, auf schwarz-rot-goldenem Grund. | Context: Wappen der DDR",,
216,Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?,1,"Path: data/images/q216_1.png | Description: The image shows the inside of the Reichstag Building in Berlin, Germany. The focus is on the plenary hall, where members of parliament convene. The seating arrangement is semi-circular, with rows of desks facing a central podium.  A large eagle emblem, the Reichsadler, is prominently displayed on the wall behind the podium.  The hall is filled with people, presumably politicians and staff, and the overall atmosphere appears to be one of a formal gathering or session. | Context: This image shows the Plenarsaal (plenary hall) of the Deutscher Bundestag (German Parliament) with the Reichsadler (German imperial eagle) displayed prominently.",,
176,Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?,1,Path: data/images/q176_1.png | Description: A map of Germany divided into four colored zones. | Context: This map illustrates the four occupation zones of Germany after World War II.,,
209,Welches war das Wappen der Deutschen Demokratischen Republik?,4,Path: data/images/q209_1.png | Description: Das Bild zeigt das Wappen der Bundesrepublik Deutschland. Es ist ein goldener Adler auf schwarzem Grund. Der Adler hat einen roten Schnabel und rote Krallen. | Context: Bild 1: Wappen der Bundesrepublik Deutschland ;; Path: data/images/q209_2.png | Description: Das Bild zeigt ein Kreuz auf weißem Grund. Das Kreuz hat eine rote Umrandung. | Context: Bild 2: Kreuz ;; Path: data/images/q209_3.png | Description: Das Bild zeigt das Eiserne Kreuz. Es ist ein schwarzes Kreuz mit weißer Umrandung auf grauem Grund. | Context: Bild 3: Eisernes Kreuz ;; Path: data/images/q209_4.png | Description: Das Bild zeigt das Wappen der Deutschen Demokratischen Republik (DDR). Es ist ein Hammer und ein Zirkel in einem Ährenkranz auf rotem Grund. Der Ährenkranz ist goldfarben und der Hammer und Zirkel sind schwarz. | Context: Bild 4: Wappen der DDR,,
226,Welche ist die Flagge der Europäischen Union?,4,"Path: data/images/q226_1.png | Description: Flagge der Vereinigten Staaten von Amerika | Context: Diese Flagge hat dreizehn horizontale Streifen in den Farben Rot und Weiß, abwechselnd angeordnet. In der oberen linken Ecke befindet sich ein blaues Rechteck mit fünfzig kleinen weißen Sternen, die in einem regelmäßigen Muster angeordnet sind. ;; Path: data/images/q226_2.png | Description: Flagge der Europäischen Union | Context: Diese Flagge hat einen blauen Hintergrund mit zwölf goldenen Sternen, die in einem Kreis angeordnet sind. ;; Path: data/images/q226_3.png | Description: Flagge der Vereinten Nationen | Context: Diese Flagge hat einen hellblauen Hintergrund. In der Mitte befindet sich ein weißes Emblem, das eine Weltkarte in azimutaler äquidistanter Projektion zeigt, umgeben von zwei Olivenzweigen. ;; Path: data/images/q226_4.png | Description: Eine generische Flagge mit einem Kreis-Symbol | Context: Diese Flagge hat einen hellblauen Hintergrund. In der Mitte befindet sich ein weißer Kreis, der von einem orangefarbenen Kreis umgeben ist. Innerhalb des weißen Kreises befinden sich drei gekrümmte orangefarbene Formen, die an ein stilisiertes ""C"" erinnern.",,
235,Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?,1,"Path: data/images/q235_1.png | Description: Two men stand with their hands clasped, facing a crowd of onlookers.  They are in front of two wreaths on stands.  One wreath has the colors of the French flag, and the other has the colors of the German flag. | Context: François Mitterrand and Helmut Kohl commemorating the dead of both World Wars in Verdun.",,
301,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q301_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q301_2.png | Description: Das Bild zeigt ein Wappen, das vertikal in drei Abschnitte unterteilt ist. Der linke Abschnitt zeigt drei Hirschgeweihe auf rotem Grund, der mittlere Abschnitt zeigt drei schwarze Löwen auf gelbem Grund, und der rechte Abschnitt zeigt drei schwarze Adler auf gelbem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q301_3.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund und einem roten Balken darüber. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q301_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Turm auf weißem Grund. | Context: Wappen einer Stadt",,
308,Welches Bundesland ist Sachsen?,1,"Path: data/images/q308_1.png | Description: Germany map with one state highlighted in red. | Context: Map of Germany with Sachsen highlighted, indicating the correct answer.",,
311,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q311_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q311_2.png | Description: Das Bild zeigt ein Wappen mit einer diagonal geteilten Fläche. Oben rot-weiße Rauten, unten drei schwarze Hirschstangen auf gelbem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q311_3.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund und drei schwarzen Hirschstangen auf gelbem Grund nebeneinander. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q311_4.png | Description: Das Bild zeigt ein Wappen mit drei Türmen auf rotem Grund. | Context: Wappen einer Stadt",,
328,Welches Bundesland ist Sachsen?,1,"Path: data/images/q328_1.png | Description: A map of Germany with a region highlighted in red. The rest of the map is in light blue. There are four numbers on the map, seemingly indicating different regions. | Context: This image shows a map of Germany with one of the states highlighted, as part of a question asking the user to identify the state of Sachsen.",,
331,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q331_1.png | Description: Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Bild 1, Wappen von Baden ;; Path: data/images/q331_2.png | Description: Wappen mit weiß-roten Rauten auf blauem Grund. | Context: Bild 2, Wappen von Bayern ;; Path: data/images/q331_3.png | Description: Wappen mit drei schwarzen Hirschstangen auf gelbem Grund und einem schwarzen Bären auf weißem Grund. | Context: Bild 3, Wappen von Baden-Württemberg ;; Path: data/images/q331_4.png | Description: Wappen mit rotem Tor auf weißem Grund. | Context: Bild 4, Wappen von Brandenburg",,
341,Welches Wappen gehört zum Bundesland Sachsen?,4,"Path: data/images/q341_1.png | Description: Wappen mit drei vertikalen Streifen in den Farben Schwarz, Gelb und Schwarz. | Context: Wappen von Sachsen ;; Path: data/images/q341_2.png | Description: Wappen mit einem schwarzen Löwen auf weißem Hintergrund. | Context: Wappen von Sachsen ;; Path: data/images/q341_3.png | Description: Wappen mit einem weißen Pferd auf rotem Hintergrund. | Context: Wappen von Niedersachsen ;; Path: data/images/q341_4.png | Description: Wappen mit horizontalen Streifen in den Farben Schwarz, Gelb und Schwarz. | Context: Wappen von Sachsen-Anhalt",,
351,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q351_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q351_2.png | Description: Das Bild zeigt ein Wappen, das in vier Teile geteilt ist. Oben links und unten rechts sind jeweils drei schwarze Hirschstangen auf goldenem Grund. Oben rechts und unten links sind jeweils drei schwarze Löwen auf goldenem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q351_3.png | Description: Das Bild zeigt ein Wappen, das horizontal geteilt ist. Oben sind drei schwarze Löwen auf goldenem Grund. Unten ist ein schräg liegender, rot-weiß gestreifter Balken auf goldenem Grund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q351_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Turm auf weißem Grund. | Context: Wappen einer Stadt",,
361,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q361_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q361_2.png | Description: Das Bild zeigt ein Wappen, das in vier Teile geteilt ist. Oben links und unten rechts sind jeweils drei übereinanderliegende, liegende schwarze Hirschstangen auf goldenem Grund. Oben rechts und unten links sind drei rote, schräg angeordnete Balken auf goldenem Grund. | Context: Wappen von Württemberg ;; Path: data/images/q361_3.png | Description: Das Bild zeigt ein Wappen mit einem schrägen, rot-schwarzen Balken. Im oberen Teil befindet sich ein nach rechts blickender, goldener Löwe, im unteren Teil drei silberne Hirschstangen. | Context: Wappen von Baden ;; Path: data/images/q361_4.png | Description: Das Bild zeigt ein Wappen mit drei Türmen auf rotem Grund. | Context: Wappen von Freiburg",,
371,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,Path: data/images/q371_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q371_2.png | Description: Das Bild zeigt ein Wappen mit einer weiß-blauen Raute. | Context: Wappen von Bayern ;; Path: data/images/q371_3.png | Description: Das Bild zeigt ein Wappen mit einem schwarzen Bären auf gelbem Grund. | Context: Wappen von Berlin ;; Path: data/images/q371_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Tor auf weißem Grund. | Context: Wappen von Brandenburg,,
381,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q381_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden ;; Path: data/images/q381_2.png | Description: Das Bild zeigt ein Wappen mit einer diagonal geteilten Fläche, links rot-weiß und rechts blau-weiß. | Context: Wappen von Württemberg ;; Path: data/images/q381_3.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund und einer schrägen schwarzen Linie mit drei Hirschgeweihen. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q381_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Turm auf weißem Grund. | Context: Wappen von Hamburg",,
401,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q401_1.png | Description: Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Bild 1, Wappen von Baden ;; Path: data/images/q401_2.png | Description: Wappen mit rot-weißen Rauten. | Context: Bild 2, Wappen von Bayern ;; Path: data/images/q401_3.png | Description: Wappen mit drei Hirschgeweihen auf gelbem Grund und drei schwarzen Balken auf goldenem Grund. | Context: Bild 3, Wappen von Baden-Württemberg ;; Path: data/images/q401_4.png | Description: Wappen mit rotem Stadttor auf weißem Grund. | Context: Bild 4, Wappen von Brandenburg",,
408,Welches Bundesland ist Thüringen?,1,"Path: data/images/q408_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each with a line pointing to a different state. | Context: Map of Germany with Thüringen highlighted",,
421,Welches Wappen gehört zum Freistaat Bayern?,4,Path: data/images/q421_1.png | Description: Das Bild zeigt ein Wappen mit einem goldenen Löwen auf schwarzem Hintergrund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q421_2.png | Description: Das Bild zeigt ein Wappen mit weißen und blauen Rauten. | Context: Wappen von Bayern ;; Path: data/images/q421_3.png | Description: Das Bild zeigt ein Wappen mit einem schwarzen Bären auf goldenem Hintergrund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q421_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Löwen auf goldenem Hintergrund. | Context: Wappen von Brandenburg,,
431,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,Path: data/images/q431_1.png | Description: Das Bild zeigt ein Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Wappen von Baden-Württemberg ;; Path: data/images/q431_2.png | Description: Das Bild zeigt ein Wappen mit einer weiß-blauen Raute. | Context: Wappen von Bayern ;; Path: data/images/q431_3.png | Description: Das Bild zeigt ein Wappen mit einem schwarzen Bären auf gelbem Grund. | Context: Wappen von Berlin ;; Path: data/images/q431_4.png | Description: Das Bild zeigt ein Wappen mit einem roten Adler auf weißem Grund und einer stilisierten Burg. | Context: Wappen von Brandenburg,,
441,Welches Wappen gehört zum Bundesland Hessen?,4,Path: data/images/q441_1.png | Description: The image presents four distinct coat of arms. The first features three lions on a yellow background. The second showcases a standing black bear on a white background. The third displays a white horse on a red background. The fourth presents five horizontal stripes alternating between black and gold. | Context: These coat of arms are options for the question about the correct coat of arms for the German state of Hessen. ;; Path: data/images/q441_2.png | Description: Three lions passant guardant on a golden field. | Context: Coat of arms. Option A ;; Path: data/images/q441_3.png | Description: A black bear rampant on a white field. | Context: Coat of arms. Option B ;; Path: data/images/q441_4.png | Description: A silver horse salient on a red field. | Context: Coat of arms. Option C,,
458,Welches Bundesland ist Sachsen?,1,"Path: data/images/q458_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each next to a different state. | Context: Map of Germany with Sachsen highlighted.",,
321,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,"Path: data/images/q321_1.png | Description: Wappen mit drei schwarzen Löwen auf gelbem Grund. | Context: Bild 1, Wappen von Baden ;; Path: data/images/q321_2.png | Description: Wappen mit Rautenmuster auf weißem Grund und drei schwarzen Hirschgeweihen auf rotem Grund. | Context: Bild 2, Wappen von Württemberg ;; Path: data/images/q321_3.png | Description: Wappen mit drei schwarzen Löwen auf gelbem Grund und drei schwarzen Hirschgeweihen auf rotem Grund. | Context: Bild 3, Wappen von Baden-Württemberg ;; Path: data/images/q321_4.png | Description: Wappen mit drei Türmen auf weißem Grund. | Context: Bild 4, Wappen einer Stadt",,
368,Welches Bundesland ist Sachsen?,1,"Path: data/images/q368_1.png | Description: A map of Germany with one state highlighted in red. The rest of the states are highlighted in light blue. | Context: This is a map of Germany, used in the ""Leben in Deutschland"" test to ask which state is highlighted.",,
55,Was zeigt dieses Bild?,1,"Path: data/images/q55_1.png | Description: A photograph of the Reichstag building in Berlin, Germany. The image shows the front facade of the building, with the German flag flying prominently. There are people walking in the foreground. | Context: Image of the Reichstag building, which is the seat of the German Parliament (Bundestag)",,
70,Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,1,Path: data/images/q70_1.png | Description: Two men in suits stand facing each other. One man is handing a document to the other. A woman stands behind and to the side of the man receiving the document. They appear to be in a formal setting. | Context: Bundespräsident Gustav Heinemann hands Helmut Schmidt his appointment certificate as German Chancellor.,,
130,Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?,1,"Path: data/images/q130_1.png | Description: A sample ballot paper for the German federal election. It shows two columns for votes. The first column is for the Erststimme (first vote) to elect a direct candidate for the constituency. The second column is for the Zweitstimme (second vote) to elect a party list.  The ballot includes checkboxes next to the names of candidates and parties. The top of the ballot indicates ""You have 2 votes."" | Context: Sample ballot paper",,
181,Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?,1,"Path: data/images/q181_1.png | Description: A black and white photograph of Willy Brandt, the former Chancellor of West Germany, kneeling before a monument. He is surrounded by a crowd of people, some of whom are wearing official-looking attire. The monument appears to be a large, rectangular structure with wreaths laid at its base. The setting suggests a solemn occasion, possibly a memorial or commemoration. | Context: Willy Brandt's Kniefall (kneeling) in Warsaw",,
187,"Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?",1,Path: data/images/q187_1.png | Description: Flag of East Germany | Context: The image shows the flag of the German Democratic Republic (GDR/DDR/East Germany). It is a black-red-gold tricolor with the emblem of East Germany in the center. The emblem consists of a hammer and a compass inside a wreath of rye.,,
318,Welches Bundesland ist Sachsen-Anhalt?,1,Path: data/images/q318_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. | Context: Map of Germany showing the location of Sachsen-Anhalt,,
338,Welches Bundesland ist Baden-Württemberg?,1,"Path: data/images/q338_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each pointing to a different area/state. | Context: Map of Germany with Baden-Württemberg highlighted.",,
348,Welches Bundesland ist Sachsen-Anhalt?,1,"Path: data/images/q348_1.png | Description: Eine Karte von Deutschland mit einem hervorgehobenen Bundesland. Die Karte ist in mehrere Bundesländer unterteilt, die durch dünne graue Linien voneinander abgegrenzt sind. Das hervorgehobene Bundesland befindet sich im mittleren nördlichen Teil Deutschlands und ist rot markiert. Die anderen Bundesländer sind hellblau. Die Bundesländer sind mit den Nummern 1, 2, 3 und 4 gekennzeichnet. Nummer 1 befindet sich im mittleren nördlichen Teil, Nummer 2 im Südwesten, Nummer 3 im Nordosten und Nummer 4 im Südosten. | Context: Karte von Deutschland zur Identifizierung von Sachsen-Anhalt",,
358,Welches Bundesland ist Schleswig-Holstein?,1,"Path: data/images/q358_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each pointing to a different state. | Context: Map of Germany with Schleswig-Holstein highlighted",,
378,Welches Bundesland ist Baden-Württemberg?,1,"Path: data/images/q378_1.png | Description: Eine Karte von Deutschland mit einem hervorgehobenen Bundesland. Die Karte ist in mehrere Bundesländer unterteilt, die durch dünne schwarze Linien voneinander abgegrenzt sind. Das hervorgehobene Bundesland befindet sich im südwestlichen Teil Deutschlands und ist rot markiert. Die anderen Bundesländer sind hellblau. Die Bundesländer sind mit den Nummern 1, 2, 3 und 4 gekennzeichnet. Nummer 1 befindet sich im nördlichen Teil Deutschlands, Nummer 2 im südwestlichen Teil, Nummer 3 im östlichen Teil und Nummer 4 im südöstlichen Teil. | Context: Karte von Deutschland mit hervorgehobenem Bundesland Baden-Württemberg",,
388,Welches Bundesland ist Brandenburg?,1,Path: data/images/q388_1.png | Description: A map of Germany with one region highlighted in orange. | Context: Map of Brandenburg,,
398,Welches Bundesland ist Baden-Württemberg?,1,"Path: data/images/q398_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each pointing to a different state. | Context: Map of Germany with Baden-Württemberg highlighted.",,
418,Welches Bundesland ist Bayern?,1,"Path: data/images/q418_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each next to a different state. | Context: Map of Germany with Bayern highlighted",,
428,Welches Bundesland ist Sachsen-Anhalt?,1,"Path: data/images/q428_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each next to a different state. | Context: Map of Germany with Sachsen-Anhalt highlighted.",,
438,Welches Bundesland ist Brandenburg?,1,Path: data/images/q438_1.png | Description: A map of Germany with a highlighted state. | Context: Map highlighting Brandenburg,,
448,Welches Bundesland ist Hessen?,1,"Path: data/images/q448_1.png | Description: A map of Germany with one state highlighted in red. The other states are highlighted in light blue. There are four numbers on the map, each with a line pointing to a different state. | Context: Map of Germany with Hessen highlighted",,
451,Welches Wappen gehört zum Bundesland Baden-Württemberg?,4,Path: data/images/q451_1.png | Description: A coat of arms with three black lions on a yellow background. | Context: Option A ;; Path: data/images/q451_2.png | Description: A coat of arms with a red and white checkered pattern. | Context: Option B ;; Path: data/images/q451_3.png | Description: A coat of arms with three black lions on a yellow background and a crown on top. | Context: Option C ;; Path: data/images/q451_4.png | Description: A coat of arms with a white tower on a red background. | Context: Option D,,
